"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"STO";"Opération comptable";"B1G";"Valeur ajoutée brute"
"STO";"Opération comptable";"D11";"Salaires et traitements bruts"
"STO";"Opération comptable";"B2A3G";"Excédent brut d’exploitation et revenu mixte brut"
"STO";"Opération comptable";"P31";"Dépense de consommation individuelle"
"STO";"Opération comptable";"B2G";"Excédent brut d’exploitation"
"STO";"Opération comptable";"P32";"Dépense de consommation collective"
"STO";"Opération comptable";"P4";"Consommation finale effective"
"STO";"Opération comptable";"P51G";"Formation brute de capital fixe"
"STO";"Opération comptable";"P52";"Variation des stocks"
"STO";"Opération comptable";"_TC";"Taux de couverture"
"STO";"Opération comptable";"P6";"Exportations de biens et services"
"STO";"Opération comptable";"P7";"Importations de biens et services"
"STO";"Opération comptable";"B11";"Solde des échanges extérieurs de biens et services"
"STO";"Opération comptable";"P3";"Dépense de consommation finale"
"STO";"Opération comptable";"_TI";"Taux d’investissement"
"STO";"Opération comptable";"P53";"Acquisitions moins cessions d’objets de valeur"
"STO";"Opération comptable";"_REM";"Rémunérations des salariés / valeur ajoutée brute"
"STO";"Opération comptable";"D121";"Cotisations sociales effectives à la charge des employeurs"
"STO";"Opération comptable";"D21";"Impôts sur les produits"
"STO";"Opération comptable";"D122";"Cotisations sociales imputées à la charge des employeurs"
"STO";"Opération comptable";"_IMP";"Impôts sur la production / valeur ajoutée brute"
"STO";"Opération comptable";"D29";"Autres impôts sur la production"
"STO";"Opération comptable";"D291";"Impôts sur les salaires et la main d’œuvre"
"STO";"Opération comptable";"D2";"Impôts sur la production et les importations"
"STO";"Opération comptable";"D292";"Impôts divers sur la production"
"STO";"Opération comptable";"D3";"Subventions"
"STO";"Opération comptable";"D31";"Subventions sur les produits"
"STO";"Opération comptable";"D39";"Autres subventions sur la production"
"STO";"Opération comptable";"TS_CE";"Total des emplois "
"STO";"Opération comptable";"TC_CE";"Total des charges"
"STO";"Opération comptable";"TU_CE";"Total des ressources"
"STO";"Opération comptable";"B1GQ";"Produit intérieur brut"
"STO";"Opération comptable";"_PART_VAENF";"Part de la valeur ajoutée des ei dans la valeur ajoutée totale des enf"
"STO";"Opération comptable";"_TM1";"Taux de marge"
"STO";"Opération comptable";"B3G";"Revenu mixte brut"
"STO";"Opération comptable";"_REVENU";"Revenu mixte brut des ei / excédent brut d’exploitation et revenu mixte brut des enf"
"STO";"Opération comptable";"_TM2";"Taux de marge"
"STO";"Opération comptable";"B5GQ";"Revenu national brut"
"STO";"Opération comptable";"_RNB_HABITANT";"Revenu national brut par habitant"
"STO";"Opération comptable";"B6GQ";"Revenu national disponible brut"
"STO";"Opération comptable";"_TAF";"Taux d’autofinancement"
"STO";"Opération comptable";"_TX_EE";"Taux d’épargne des entreprises"
"STO";"Opération comptable";"B9";"Capacité (+) ou besoin (-) de financement"
"STO";"Opération comptable";"_CANTINE_REVENU";"Part des cantines dans le revenu disponible brut"
"STO";"Opération comptable";"_DEP_LOGT_REVENU";"Part de la dépense liée au logement dans le revenu disponible brut"
"STO";"Opération comptable";"_ASSUR_REVENU";"Part des assurances (hors assurance-vie) et services financiers dans le revenu disponible brut"
"STO";"Opération comptable";"_TELE_REVENU";"Part des services de télévision et de télécommunications dans le revenu disponible brut"
"STO";"Opération comptable";"_DEP_REVENU";"Part de la dépense pré-engagée dans le revenu disponible brut"
"STO";"Opération comptable";"_DEP_CONSO";"Part de la dépense pré-engagée dans la dépense de consommation finale des ménages"
"STO";"Opération comptable";"_COEFF_BUDG";"Coefficient budgétaire"
"STO";"Opération comptable";"_COEFF_BUDG_P31";"Coefficient budgétaire"
"STO";"Opération comptable";"EMP";"Emploi total (peut être en personnes physiques, équivalent temps plein ou en heures travaillées)"
"STO";"Opération comptable";"_PHT";"Productivité horaire du travail (pht)"
"STO";"Opération comptable";"SELF";"Emploi des travailleurs indépendants dans les unités de production résidentes (peut être en personnes physiques, équivalent temps plein ou en heures travaillées)"
"STO";"Opération comptable";"SAL";"Emploi des salariés dans les unités de production résidentes (peut être en personnes physiques, équivalent temps plein ou en heures travaillées)"
"STO";"Opération comptable";"SALD";"Emploi déclaré des salariés dans les unités de production résidentes (peut être en personnes physiques, équivalent temps plein ou en heures travaillées)"
"STO";"Opération comptable";"P1O";"Production marchande, production pour emploi final propre et paiements au titre de la production non marchande"
"STO";"Opération comptable";"P1M";"Production marchande et production pour usage final propre"
"STO";"Opération comptable";"P131";"Paiements au titre de la production non marchande"
"STO";"Opération comptable";"P132";"Autre production non marchande"
"STO";"Opération comptable";"P5M";"Variation stocks + Acquis, moins cessions objets valeur (OPP52+OPP53)"
"STO";"Opération comptable";"D91";"Impôts en capital"
"STO";"Opération comptable";"CONTRIB_PIB_P3";"Contribution à l’évolution du PIB de la dépense de consommation finale"
"STO";"Opération comptable";"CONTRIB_PIB_P31";"Contribution à l’évolution du PIB de la dépense de consommation individuelle"
"STO";"Opération comptable";"CONTRIB_PIB_P32";"Contribution à l’évolution du PIB de la dépense de consommation collective"
"STO";"Opération comptable";"P5";"Formation brute de capital/Formation nette de capital"
"STO";"Opération comptable";"CONTRIB_PIB_P51G";"Contribution à l’évolution du PIB de la FBCF"
"STO";"Opération comptable";"CONTRIB_PIB_P52";"Contribution à l’évolution du PIB de la variation des stocks"
"STO";"Opération comptable";"CONTRIB_PIB_P53";"Contribution à l’évolution du PIB des acquisitions moins cessions d’objets de valeur"
"STO";"Opération comptable";"CONTRIB_PIB_P6";"Contribution à l’évolution du PIB du solde des exportations"
"STO";"Opération comptable";"CONTRIB_PIB_P7";"Contribution à l’évolution du PIB du solde des importations"
"STO";"Opération comptable";"DINT";"Total de la demande intérieure en produits"
"STO";"Opération comptable";"DINT_S";"Demande intérieure hors stocks"
"STO";"Opération comptable";"TFU";"Total des emplois finaux"
"STO";"Opération comptable";"TSBP";"Total ressources prix de base"
"STO";"Opération comptable";"D12";"Cotisations sociales à la charge des employeurs"
"STO";"Opération comptable";"D2X3";"Impôts sur production et importations, moins subventions (D2+D3)"
"STO";"Opération comptable";"_PIB_HABITANT";"PIB par habitant"
"STO";"Opération comptable";"CONTRIB_PIB_B1GQ";"Variation du PIB"
"STO";"Opération comptable";"_RNB_REEL";"Revenu national brut en termes réels"
"STO";"Opération comptable";"CONTRIB_PIB_B11";"Contribution à l’évolution du PIB du solde des échanges extérieurs"
"STO";"Opération comptable";"_RNB_REEL_HABITANT";"Revenu national brut en termes réels par habitant"
"STO";"Opération comptable";"KA_P5";"Formation brute de capital/Formation nette de capital en autres changements de volume et ajustements"
"STO";"Opération comptable";"K7_P5";"Formation brute de capital/Formation nette de capital en gains/pertes nominaux de détention"
"STO";"Opération comptable";"K7_P51G";"Formation brute de capital fixe en gains/pertes nominaux de détention"
"STO";"Opération comptable";"KA_P52";"Variation des stocks en autres changements de volume et ajustements"
"STO";"Opération comptable";"K7_P52";"Variation des stocks en gains/pertes nominaux de détention"
"STO";"Opération comptable";"K7_P53";"Acquisitions moins cessions d’objets de valeur en gains/pertes nominaux de détention"
"STO";"Opération comptable";"LE";"Clôture du bilan/positions/flux"
"STO";"Opération comptable";"POP";"Population"
"STO";"Opération comptable";"POPM";"Moyenne annuelle de la population en France métropolitaine"
"STO";"Opération comptable";"MENF";"Moyenne annuelle du nombre de ménages en France entière"
"STO";"Opération comptable";"MENM";"Moyenne annuelle du nombre de ménages en France métropolitaine"
"STO";"Opération comptable";"UC";"Unités de consommation"
"STO";"Opération comptable";"_PAM";"Pouvoir d’achat du rdb des ménages"
"STO";"Opération comptable";"_PAA";"Pouvoir d’achat du rdb arbitrable des ménages"
"STO";"Opération comptable";"P5K";"Autres acquisitions moins cessions d’actifs non financiers"
"STO";"Opération comptable";"RSS";"Revenus salariaux et sociaux"
"STO";"Opération comptable";"D11X613CE";"Salaires et traitements nets"
"STO";"Opération comptable";"D4";"Revenus de la propriété"
"STO";"Opération comptable";"D5";"Impôts courants sur le revenu, le patrimoine, etc."
"STO";"Opération comptable";"D61";"Cotisations sociales nettes"
"STO";"Opération comptable";"D613CE";"Cotisations sociales effectives obligatoires à la charge des salariés"
"STO";"Opération comptable";"D613NSI";"Cotisations des non salariés"
"STO";"Opération comptable";"D62";"Prestations sociales autres que transferts sociaux en nature"
"STO";"Opération comptable";"D63";"Transferts sociaux en nature"
"STO";"Opération comptable";"D7";"Autres transferts courants"
"STO";"Opération comptable";"D9P";"Transferts en capital à payer"
"STO";"Opération comptable";"D9R";"Transferts en capital à recevoir"
"STO";"Opération comptable";"P3_DPE";"Dépense de consommation finale pré-engagée"
"STO";"Opération comptable";"P3_H_DPE";"Dépense de consommation finale autre que pré-engagée"
"STO";"Opération comptable";"TSF";"Solde des transferts sociaux et fiscaux"
"STO";"Opération comptable";"B5G";"Solde brut des revenus primaires"
"STO";"Opération comptable";"B6G";"Revenu disponible brut"
"STO";"Opération comptable";"B7G";"Revenu disponible brut ajusté"
"STO";"Opération comptable";"B8G";"Épargne brute"
"STO";"Opération comptable";"_TEM";"Taux d’épargne des ménages"
"STO";"Opération comptable";"_TEFM";"Taux d’épargne financière des ménages"
"STO";"Opération comptable";"D9PXR";"Transferts en capital reçus diminués des transferts versés"
"STO";"Opération comptable";"D4NET";"Revenus de la propriété reçus diminués des revenus versés"
"STO";"Opération comptable";"RARBI";"Revenu disponible arbitrable"
"STO";"Opération comptable";"TRANSF_COURANT";"Solde des transferts courants (reçus moins versés)"
"STO";"Opération comptable";"_PAA_UC";"Pouvoir d’achat du rdb arbitrable par unité de consommation"
"STO";"Opération comptable";"_PAA_MENAGE";"Pouvoir d’achat du rdb arbitrable par ménage"
"STO";"Opération comptable";"_PAA_PERSONNE";"Pouvoir d’achat du rdb arbitrable par personne"
"STO";"Opération comptable";"_PAM_MENAGE";"Pouvoir d’achat du rdb par ménage"
"STO";"Opération comptable";"_PAM_PERSONNE";"Pouvoir d’achat du rdb par personne"
"STO";"Opération comptable";"_PAM_UC";"Pouvoir d’achat du rdb par unité de consommation"
"STO";"Opération comptable";"P311";"Dépense de consommation individuelle Biens durables"
"STO";"Opération comptable";"P312";"Dépense de consommation individuelle Biens semi-durables"
"STO";"Opération comptable";"P313";"Dépense de consommation individuelle Biens non durables"
"STO";"Opération comptable";"P314";"Dépense de consommation individuelle Services"
"STO";"Opération comptable";"P31K";"Dépense de consommation individuelle Total hors biens durables"
"STO";"Opération comptable";"P41";"Consommation individuelle effective"
"STO";"Opération comptable";"P61";"Exportations de biens"
"STO";"Opération comptable";"P62";"Exportation de services"
"STO";"Opération comptable";"P71";"Importations de biens"
"STO";"Opération comptable";"P72";"Importations de services"
"STO";"Opération comptable";"D21X31";"Impôts moins subventions sur les produits (D21+D31)"
"STO";"Opération comptable";"P51C";"Consommation de capital fixe"
"STO";"Opération comptable";"D29X39";"Autres impôts sur la production moins autres subventions sur la production"
"STO";"Opération comptable";"B2A3N";"Excédent d’exploitation/revenu mixte net de CCF"
"STO";"Opération comptable";"P11";"Production marchande"
"STO";"Opération comptable";"P12";"Production pour usage final propre"
"STO";"Opération comptable";"P13";"Production non marchande"
"STO";"Opération comptable";"NP";"Acquisitions moins cessions d’actifs non produits"
"STO";"Opération comptable";"D211";"Taxes de type TVA"
"STO";"Opération comptable";"D212";"Impôts et droits sur les importations, à l’exclusion de la TVA"
"STO";"Opération comptable";"D214";"Impôts sur les produits, à l‘exclusion de la TVA et des impôts sur les importations"
"STO";"Opération comptable";"D391";"Subventions sur rémunérations"
"STO";"Opération comptable";"D392";"Bonifications d’intérêts"
"STO";"Opération comptable";"D399";"Autres subventions d’exploitation"
"STO";"Opération comptable";"D41";"Intérêts"
"STO";"Opération comptable";"D42";"Revenus distribués des sociétés"
"STO";"Opération comptable";"D421";"Dividendes"
"STO";"Opération comptable";"D422";"Prélèvements sur les revenus des quasi-sociétés"
"STO";"Opération comptable";"D43";"Bénéfices réinvestis d’investissements directs étrangers"
"STO";"Opération comptable";"D44";"Revenus d’investissements"
"STO";"Opération comptable";"D45";"Loyers"
"STO";"Opération comptable";"D51";"Impôts sur le revenu"
"STO";"Opération comptable";"D59";"Autres impôts courants"
"STO";"Opération comptable";"D611";"Cotisations sociales effectives à la charge des employeurs"
"STO";"Opération comptable";"D612";"Cotisations sociales imputées à la charge des employeurs"
"STO";"Opération comptable";"D613";"Cotisations sociales effectives à la charge des ménages"
"STO";"Opération comptable";"D613CS";"Cotisations sociales effectives à la charge des travailleurs indépendants"
"STO";"Opération comptable";"D614";"Suppléments de cotisations sociales à la charge des ménages"
"STO";"Opération comptable";"D61SC";"Rémunération du service des régimes d’assurance sociale"
"STO";"Opération comptable";"D621";"Prestations de sécurité sociale en espèces"
"STO";"Opération comptable";"D622";"Autres prestations d’assurance sociale"
"STO";"Opération comptable";"D623";"Prestations d’assurance sociale en espèces"
"STO";"Opération comptable";"D631";"Transferts sociaux en nature – production non marchande"
"STO";"Opération comptable";"D632";"Transferts sociaux en nature – production marchande achetée"
"STO";"Opération comptable";"D7S";"Autres transferts courants (voir note)"
"STO";"Opération comptable";"D71";"Primes nettes d’assurance-dommages"
"STO";"Opération comptable";"D72";"Indemnités d’assurance-dommages"
"STO";"Opération comptable";"D73";"Transferts courants entre administrations publiques"
"STO";"Opération comptable";"D731";"Transferts courants entre sous-secteurs des apu"
"STO";"Opération comptable";"D74";"Coopération internationale courante"
"STO";"Opération comptable";"D732";"Transferts courants internes aux sous-secteurs des apu"
"STO";"Opération comptable";"D733";"Transferts de recettes fiscales"
"STO";"Opération comptable";"D73S";"Transferts courants entre administrations publiques (solde) (voir note)"
"STO";"Opération comptable";"D75";"Transferts courants divers"
"STO";"Opération comptable";"D751";"Transferts courants aux ISBLSM"
"STO";"Opération comptable";"D752";"Transferts courants entre ménages"
"STO";"Opération comptable";"D759";"Autres transferts courants divers"
"STO";"Opération comptable";"D76";"Ressources propres de l’UE fondées sur la TVA et le RNB"
"STO";"Opération comptable";"D8";"Ajustement pour variation des droits à pension"
"STO";"Opération comptable";"D91P";"Impôts en capital à payer"
"STO";"Opération comptable";"D91R";"Impôts en capital à recevoir"
"STO";"Opération comptable";"D92P";"Aides à l’investissement à payer"
"STO";"Opération comptable";"D92R";"Aides à l’investissement à recevoir"
"STO";"Opération comptable";"D99P";"Autres transferts en capital à payer"
"STO";"Opération comptable";"D99R";"Autres transferts en capital à recevoir"
"STO";"Opération comptable";"B1N";"Valeur ajoutée nette de CCF"
"STO";"Opération comptable";"B2N";"Excédent d’exploitation net de CCF"
"STO";"Opération comptable";"B3N";"Revenu mixte net de CCF"
"STO";"Opération comptable";"B5N";"Solde des revenus primaires net de CCF"
"STO";"Opération comptable";"B6N";"Revenu disponible net de CCF"
"STO";"Opération comptable";"B7N";"Revenu disponible ajusté net de CCF"
"STO";"Opération comptable";"B8N";"Épargne brute net de CCF"
"STO";"Opération comptable";"B12";"Solde des opérations courantes avec l’extérieur"
"STO";"Opération comptable";"YA2";"Divergence statistique"
"STO";"Opération comptable";"YA1";"Divergence statistique (approche par la production)"
"STO";"Opération comptable";"YA0";"Divergence statistique (approche par les dépenses)"
"STO";"Opération comptable";"P62F";"Exportation de SIFIM"
"STO";"Opération comptable";"P72F";"Importations de SIFIM"
"STO";"Opération comptable";"D2121";"Droits sur les importations"
"STO";"Opération comptable";"D2122";"Impôts sur les importations, à l’exclusion de la TVA et des droits sur les importations"
"STO";"Opération comptable";"D41G";"Intérêts bruts de correction SIFIM"
"STO";"Opération comptable";"D441";"Revenus d’investissements attribués aux assurés"
"STO";"Opération comptable";"D442";"Revenus d’investissements à payer sur les droits de pension"
"STO";"Opération comptable";"D443";"Revenus d’investissements attribués aux détenteurs de parts de fonds d’investissement"
"STO";"Opération comptable";"D6";"Cotisations et prestations sociales"
"STO";"Opération comptable";"D613CN";"Cotisations sociales effectives à la charge des personnes n’occupant pas un emploi"
"STO";"Opération comptable";"D613V";"Cotisations sociales effectives volontaires des ménages"
"STO";"Opération comptable";"D92";"Aides à l’investissement"
"STO";"Opération comptable";"D99";"Autres transferts en capital"
"STO";"Opération comptable";"ODA";"Total des recettes fiscales"
"STO";"Opération comptable";"ODB";"Produit total des impôts et cotisations sociales après déduction des montants dus non recouvrables"
"STO";"Opération comptable";"ODD";"Charge fiscale = produit total des impôts et cotisations sociales obligatoires après déduction des montants dus non recouvrables"
"STO";"Opération comptable";"B1NQ";"Produit intérieur net de CCF"
"STO";"Opération comptable";"ODC";"Produit total des impôts et cotisations sociales nettes (y compris cotisations sociales imputées) après déduction des montants dus non recouvrables"
"STO";"Opération comptable";"B4G";"Revenu d’entreprise brut"
"STO";"Opération comptable";"B5NQ";"Revenu national net"
"STO";"Opération comptable";"B9FX9";"Écart entre capacité ou besoin de financement et solde des flux nets d’actifs et passifs financiers (B9NF – B9F)"
"STO";"Opération comptable";"B101";"Variations de la valeur nette due à l’épargne et aux transferts de capital"
"STO";"Opération comptable";"B102";"Variation valeur nette dues aux changements de volume et ajustement"
"STO";"Opération comptable";"B103";"Variation valeur nette dues aux réévaluations"
"STO";"Opération comptable";"_COEFF_TECHNIQUE";"Coefficient technique"
"STO";"Opération comptable";"OTTM1";"Marges de commerce"
"STO";"Opération comptable";"OTTM2";"Marges de transport"
"STO";"Opération comptable";"TSPP";"Total ressources prix d’acquisition"
"STO";"Opération comptable";"D51M";"Impôts sur le revenu des personnes physiques ou des ménages, y compris les gains de détention (D51a + D51c1)"
"STO";"Opération comptable";"D51O";"Impôts sur le revenu ou les bénéfices des sociétés, y compris les gains de détention (D51b + D51c2)"
"STO";"Opération comptable";"D995";"Transferts en capital pour admissions en non valeur"
"STO";"Opération comptable";"_MA_PPIB";"Déficit au sens de Maastricht en points de PIB"
"STO";"Opération comptable";"MA";"Déficit au sens de Maastricht"
"STO";"Opération comptable";"P12_GFSM_D1";"Production pour usage final propre, coût imputable à la rémunération des salariés (finalité GFSM)"
"STO";"Opération comptable";"P12_GFSM_P2";"Production pour usage final propre, coût imputable à la consommation intermédiaire (finalité GFSM)"
"STO";"Opération comptable";"P12_GFSM_P51C";"Production pour usage final propre, coût imputable à la consommation de capital fixe (finalité GFSM)"
"STO";"Opération comptable";"TC";"Partie des crédits d’impôts qui excède les créances des contribuables"
"STO";"Opération comptable";"D31P";"Subventions sur les produits à payer"
"STO";"Opération comptable";"PTC";"Total des crédits d’impôts à payer"
"STO";"Opération comptable";"D6M";"Prestations sociales en espèces et en nature de produits marchands"
"STO";"Opération comptable";"P5L";"Acquisition nette d’actifs non financiers"
"STO";"Opération comptable";"D39P";"Autres subventions sur la production à payer"
"STO";"Opération comptable";"D3P";"Subventions à payer (signe positif, pour la déclaration dans la présentation des SFP)"
"STO";"Opération comptable";"D39R";"Autres subventions sur la production à recevoir"
"STO";"Opération comptable";"D2122B";"Montants compensatoires monétaires prélevés a l’importation"
"STO";"Opération comptable";"D2122C";"Droits d’accise"
"STO";"Opération comptable";"D214A";"Droits d’accise et taxes à la consommation"
"STO";"Opération comptable";"D214B";"Droits de timbre"
"STO";"Opération comptable";"D214C";"Impôts sur les opérations financières et les opérations en capital"
"STO";"Opération comptable";"D214D";"Taxe sur les certificats d’immatriculation des véhicules"
"STO";"Opération comptable";"D214E";"Taxes sur les spectacles et divertissements"
"STO";"Opération comptable";"D214F";"Taxes sur les loteries, les jeux et les paris"
"STO";"Opération comptable";"D214G";"Taxes sur les primes d’assurance"
"STO";"Opération comptable";"D214H";"Autres impôts sur des services détermines"
"STO";"Opération comptable";"D214I";"Impôts généraux sur les ventes ou le chiffre d’affaires"
"STO";"Opération comptable";"D214L";"Autres impôts sur les produits n,c,a,"
"STO";"Opération comptable";"D29A";"Impôts fonciers, impôts immobiliers ou impôts sur d’autres structures"
"STO";"Opération comptable";"D29B";"Impôts sur l’utilisation d’actifs fixes"
"STO";"Opération comptable";"D29C";"Total des impôts sur la masse salariale"
"STO";"Opération comptable";"D29E";"Patentes et licences"
"STO";"Opération comptable";"D29F";"Impôts sur la pollution"
"STO";"Opération comptable";"D29H";"Autres impôts nets sur la production n,c,a,"
